eta,target,flank_ratio,weight,n
0.72,honeycomb_K3,nan,0.0,8
0.72,kagome_K2,nan,0.0,8
0.72,maple_leaf_K1,0.0,0.0,8
0.73,honeycomb_K3,nan,0.0,9
0.73,kagome_K2,nan,0.0,9
0.73,maple_leaf_K1,0.0,0.0,9
0.74,honeycomb_K3,nan,0.0,9
0.74,kagome_K2,nan,0.0,9
0.74,maple_leaf_K1,0.0,0.0,9
0.75,honeycomb_K3,nan,0.0,9
0.75,kagome_K2,nan,0.0,9
0.75,maple_leaf_K1,nan,0.0,9
0.76,honeycomb_K3,nan,0.0,9
0.76,kagome_K2,nan,0.0,9
0.76,maple_leaf_K1,nan,0.0,9
0.77,honeycomb_K3,nan,0.0,8
0.77,kagome_K2,nan,0.0,8
0.77,maple_leaf_K1,nan,0.0,8
0.771343,honeycomb_K3,nan,0.0,9
0.771343,kagome_K2,nan,0.0,9
0.771343,maple_leaf_K1,nan,0.0,9
0.771843,honeycomb_K3,nan,0.0,9
0.771843,kagome_K2,nan,0.0,9
0.771843,maple_leaf_K1,nan,0.0,9
0.772343,honeycomb_K3,nan,0.0,9
0.772343,kagome_K2,nan,0.0,9
0.772343,maple_leaf_K1,nan,0.0,9
0.772843,honeycomb_K3,nan,0.0,9
0.772843,kagome_K2,nan,0.0,9
0.772843,maple_leaf_K1,nan,0.0,9
0.773343,honeycomb_K3,nan,0.0,8
0.773343,kagome_K2,nan,0.0,8
0.773343,maple_leaf_K1,nan,0.0,8
0.773843,honeycomb_K3,nan,0.0,9
0.773843,kagome_K2,nan,0.0,9
0.773843,maple_leaf_K1,nan,0.0,9
0.774343,honeycomb_K3,nan,0.0,9
0.774343,kagome_K2,nan,0.0,9
0.774343,maple_leaf_K1,nan,0.0,9
0.774843,honeycomb_K3,nan,0.0,9
0.774843,kagome_K2,nan,0.0,9
0.774843,maple_leaf_K1,nan,0.0,9
0.775343,honeycomb_K3,nan,0.0,9
0.775343,kagome_K2,nan,0.0,9
0.775343,maple_leaf_K1,nan,0.0,9
0.775843,honeycomb_K3,nan,0.0,8
0.775843,kagome_K2,nan,0.0,8
0.775843,maple_leaf_K1,nan,0.0,8
0.776343,honeycomb_K3,nan,0.0,9
0.776343,kagome_K2,nan,0.0,9
0.776343,maple_leaf_K1,nan,0.0,9
0.776843,honeycomb_K3,nan,0.0,9
0.776843,kagome_K2,nan,0.0,9
0.776843,maple_leaf_K1,nan,0.0,9
0.777343,honeycomb_K3,nan,0.0,9
0.777343,kagome_K2,nan,0.0,9
0.777343,maple_leaf_K1,nan,0.0,9
0.777843,honeycomb_K3,nan,0.0,9
0.777843,kagome_K2,nan,0.0,9
0.777843,maple_leaf_K1,nan,0.0,9
0.778343,honeycomb_K3,nan,0.0,8
0.778343,kagome_K2,nan,0.0,8
0.778343,maple_leaf_K1,nan,0.0,8
0.778843,honeycomb_K3,nan,0.0,9
0.778843,kagome_K2,nan,0.0,9
0.778843,maple_leaf_K1,nan,0.0,9
0.779343,honeycomb_K3,nan,0.0,9
0.779343,kagome_K2,nan,0.0,9
0.779343,maple_leaf_K1,nan,0.0,9
0.779843,honeycomb_K3,nan,0.0,9
0.779843,kagome_K2,nan,0.0,9
0.779843,maple_leaf_K1,nan,0.0,9
0.78,honeycomb_K3,nan,0.0,9
0.78,kagome_K2,nan,0.0,9
0.78,maple_leaf_K1,nan,0.0,9
0.780343,honeycomb_K3,nan,0.0,8
0.780343,kagome_K2,nan,0.0,8
0.780343,maple_leaf_K1,nan,0.0,8
0.780843,honeycomb_K3,nan,0.0,9
0.780843,kagome_K2,nan,0.0,9
0.780843,maple_leaf_K1,nan,0.0,9
0.781343,honeycomb_K3,nan,0.0,9
0.781343,kagome_K2,nan,0.0,9
0.781343,maple_leaf_K1,nan,0.0,9
0.781843,honeycomb_K3,nan,0.0,9
0.781843,kagome_K2,nan,0.0,9
0.781843,maple_leaf_K1,nan,0.0,9
0.782343,honeycomb_K3,nan,0.0,9
0.782343,kagome_K2,nan,0.0,9
0.782343,maple_leaf_K1,nan,0.0,9
0.782843,honeycomb_K3,nan,0.0,8
0.782843,kagome_K2,nan,0.0,8
0.782843,maple_leaf_K1,nan,0.0,8
0.783343,honeycomb_K3,nan,0.0,9
0.783343,kagome_K2,nan,0.0,9
0.783343,maple_leaf_K1,nan,0.0,9
0.79,honeycomb_K3,nan,0.0,9
0.79,kagome_K2,nan,0.0,9
0.79,maple_leaf_K1,nan,0.0,9
0.8,honeycomb_K3,nan,0.0,9
0.8,kagome_K2,nan,0.0,9
0.8,maple_leaf_K1,nan,0.0,9
0.81,honeycomb_K3,nan,0.0,9
0.81,kagome_K2,nan,0.0,9
0.81,maple_leaf_K1,nan,0.0,9
0.82,honeycomb_K3,nan,0.0,8
0.82,kagome_K2,nan,0.0,8
0.82,maple_leaf_K1,nan,0.0,8
