eta,reference,P_wrap,marked,chi,xi,n
0.680175,K2_kagome,0.0,0.007936507936507934,1.011111111111111,0.029051204250821208,9
0.680175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.680675,K1_maple_leaf,0.0,0.2288566468253968,1.7841109219765254,0.7488046222139658,8
0.680675,K2_kagome,0.0,0.00843253968253968,1.0,0.0,8
0.680675,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.681175,K1_maple_leaf,0.0,0.22569444444444445,1.7556046678934194,0.7295838658207336,9
0.681175,K2_kagome,0.0,0.008763227513227513,1.040958605664488,0.08503481507954483,9
0.681175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.681675,K1_maple_leaf,0.0,0.22547398589065257,1.756576956061951,0.7059646077045901,9
0.681675,K2_kagome,0.0,0.008763227513227513,1.0096618357487923,0.022660988342369258,9
0.681675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.682175,K1_maple_leaf,0.0,0.23335537918871252,1.8365475617248193,0.8152498156769531,9
0.682175,K2_kagome,0.0,0.007991622574955908,1.0,0.0,9
0.682175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.682675,K1_maple_leaf,0.0,0.23385141093474424,1.8280940878010088,0.7600585431915804,9
0.682675,K2_kagome,0.0,0.009755291005291005,1.04505278225085,0.1012139437144586,9
0.682675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.683175,K1_maple_leaf,0.0,0.22767857142857142,1.7657357341723796,0.7145018236637666,8
0.683175,K2_kagome,0.0,0.008618551587301586,1.0096153846153846,0.023994174620218852,8
0.683175,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.683675,K1_maple_leaf,0.0,0.22663139329805995,1.7948711633601262,0.7684197904544281,9
0.683675,K2_kagome,0.0,0.00892857142857143,1.0499025341130603,0.07738102063118332,9
0.683675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.684175,K1_maple_leaf,0.0,0.22861552028218693,1.7161257246910706,0.6862164080746674,9
0.684175,K2_kagome,0.0,0.008267195767195767,1.0,0.0,9
0.684175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.684675,K1_maple_leaf,0.0,0.23296957671957674,1.837914232121304,0.7989224011208673,9
0.684675,K2_kagome,0.0,0.008873456790123456,1.0213577421815407,0.04988259457590229,9
0.684675,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.685175,K1_maple_leaf,0.0,0.23203262786596124,1.8211085376915426,0.7497492579859992,9
0.685175,K2_kagome,0.0,0.008267195767195767,1.0105820105820105,0.026261072555410145,9
0.685175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.685675,K1_maple_leaf,0.0,0.2310267857142857,1.767279254789139,0.7461220589957196,8
0.685675,K2_kagome,0.0,0.008432539682539684,1.0232683982683983,0.05302118361536271,8
0.685675,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.686175,K1_maple_leaf,0.0,0.23567019400352734,1.8576100362607701,0.7920830330907962,9
0.686175,K2_kagome,0.0,0.008818342151675485,1.0235507246376812,0.049475363850020895,9
0.686175,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.69,K1_maple_leaf,0.0,0.23578042328042326,1.7880292900164436,0.7433524803601127,9
0.69,K2_kagome,0.0,0.009534832451499118,1.0285470085470085,0.06861043073229034,9
0.69,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.7,K1_maple_leaf,0.0,0.24586640211640212,1.8642135579120722,0.8694408763448602,9
0.7,K2_kagome,0.0,0.006283068783068783,1.0,0.0,9
0.7,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.71,K1_maple_leaf,0.0,0.24994488536155204,1.8396835491144996,0.7787753362452965,9
0.71,K2_kagome,0.0,0.005952380952380951,1.0130718954248366,0.02612894884108388,9
0.71,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.72,K1_maple_leaf,0.0,0.2531622023809524,1.861537011601499,0.8239387966526761,8
0.72,K2_kagome,0.0,0.005332341269841269,1.0208333333333335,0.03421802052306332,8
0.72,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.73,K1_maple_leaf,0.0,0.26295194003527333,1.8844325860389322,0.8016811391322638,9
0.73,K2_kagome,0.0,0.003692680776014109,1.0502645502645505,0.07788990757562231,9
0.73,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.74,K1_maple_leaf,0.0,0.26179453262786595,1.7748108865627907,0.7241972812384904,9
